error_p,rt
0,44850.68408
1,63183.7707
2,52492.49443
3,51070.17051
4,39555.57041
5,57567.4
6,52745.68848
7,36720.27627
8,29219.51934
9,25949.4416
10,26332.80215
11,21070.95811
12,22681.8001
13,33089.28467
14,28121.27568
15,25001.19248
16,23340.45059
17,19443.13652
18,15793.41367
19,15404.91631
20,19650.15068
21,17694.03867
22,17535.96963
23,17930.67813
24,21516.79336
25,19223.64551
26,19791.76885
27,19389.84707
28,19071.28184
29,21440.62305
30,20781.14082
31,24605.52129
32,23840.78242
33,17348.30313
34,19015.90039
35,16247.27153
36,17903.04414
37,21413.43613
38,22833.32979
39,22117.53965
40,20836.43145
41,17540.24316
42,18488.18984
43,17789.35859
44,18108.24365
45,20022.59209
46,19512.34268
47,24841.40078
48,23621.5291
49,22978.11709
50,23493.09912
51,22417.29727
52,22293.71646
53,24271.91289
54,23789.25679
55,22287.10942
56,23058.25283
57,21660.1812
58,20777.78032
59,19073.7731
60,19063.97144
61,19850.06348
62,17884.76289
63,15377.84404
64,15998.14126
65,18214.22324
66,13248.22813
67,11807.83281
68,11645.92554
69,9967.162256
70,8768.431836
71,10074.58774
72,10667.56211
73,9828.948877
74,9916.21958
75,10173.62358
76,9087.069971
77,9982.724463
78,10196.86753
79,10233.77207
80,9180.400635
81,5557.175464
82,5761.894458
83,4852.037232
84,6906.069238
85,6358.67522
86,6352.614551
87,6342.583472
88,5341.068945
89,4391.591284
90,4400.442798
91,3960.319092
92,5079.722949
93,4358.520325
94,3724.360291
95,3466.199011
96,2568.072009
97,2365.186212
98,1688.334363
99,1073.777081
